Array Size,Average No. of Comparisons,,,,,
10000,111740,,,,,
20000,233640,,,,,
30000,360127,,,,,The comparison numbers follow the nlogn runtime.
40000,487628,,,,,
50000,618988,,,,,
60000,750396,,,,,
70000,883088,,,,,
80000,1018370,,,,,
90000,1151711,,,,,
100000,1289647,,,,,
110000,1428140,,,,,
120000,1565372,,,,,
130000,1699776,,,,,
140000,1839208,,,,,
150000,1976101,,,,,
160000,2117878,,,,,
170000,2248965,,,,,
180000,2391459,,,,,
190000,2534379,,,,,
200000,2674681,,,,,
210000,2811871,,,,,
220000,2951489,,,,,
230000,3099576,,,,,
240000,3245359,,,,,
250000,3380357,,,,,
260000,3528491,,,,,
270000,3680566,,,,,
280000,3817951,,,,,
290000,3955321,,,,,
300000,4102181,,,,,
310000,4243547,,,,,
320000,4385769,,,,,
330000,4534455,,,,,
340000,4672696,,,,,
350000,4808898,,,,,
360000,4964738,,,,,
370000,5104690,,,,,
380000,5239583,,,,,
390000,5412748,,,,,
400000,5544656,,,,,
410000,5691651,,,,,
420000,5832535,,,,,
430000,5992360,,,,,
440000,6143611,,,,,
450000,6292223,,,,,
460000,6438702,,,,,
470000,6587022,,,,,
480000,6730451,,,,,
490000,6874611,,,,,
500000,7015366,,,,,
510000,7165808,,,,,
520000,7337375,,,,,
530000,7468136,,,,,
540000,7621823,,,,,
550000,7750482,,,,,
560000,7923821,,,,,
570000,8066679,,,,,
580000,8195070,,,,,
590000,8365342,,,,,
600000,8519037,,,,,
610000,8656184,,,,,
620000,8781634,,,,,
630000,8936119,,,,,
640000,9085162,,,,,
650000,9247731,,,,,
660000,9384063,,,,,
670000,9558534,,,,,
680000,9684239,,,,,
690000,9858782,,,,,
700000,9989068,,,,,
710000,10135869,,,,,
720000,10309392,,,,,
730000,10443480,,,,,
740000,10592272,,,,,
750000,10713955,,,,,
760000,10903441,,,,,
770000,11051508,,,,,
780000,11213410,,,,,
790000,11342999,,,,,
800000,11470756,,,,,
810000,11648920,,,,,
820000,11792109,,,,,
830000,11956871,,,,,
840000,12088427,,,,,
850000,12244735,,,,,
860000,12422006,,,,,
870000,12569574,,,,,
880000,12712318,,,,,
890000,12855525,,,,,
900000,13040847,,,,,
910000,13193766,,,,,
920000,13303802,,,,,
930000,13494653,,,,,
940000,13633489,,,,,
950000,13778544,,,,,
960000,13928210,,,,,
970000,14080075,,,,,
980000,14277412,,,,,
990000,14391837,,,,,
1000000,14549706,,,,,
